Connecting to host 10.0.0.2, port 8
[  7] local 10.0.0.8 port 35510 connected to 10.0.0.2 port 8
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]  65.00-66.00  sec  3.75 MBytes  31.5 Mbits/sec    6   79.2 KBytes       
[  7]  66.00-67.00  sec  8.75 MBytes  73.4 Mbits/sec   24   80.6 KBytes       
[  7]  67.00-68.00  sec  5.00 MBytes  41.9 Mbits/sec    7   99.0 KBytes       
[  7]  68.00-69.00  sec  5.00 MBytes  42.0 Mbits/sec    6   96.2 KBytes       
[  7]  69.00-70.00  sec  2.50 MBytes  21.0 Mbits/sec    6   89.1 KBytes       
[  7]  70.00-71.00  sec  8.75 MBytes  73.4 Mbits/sec   23   94.7 KBytes       
[  7]  71.00-72.00  sec  10.0 MBytes  83.9 Mbits/sec   25   82.0 KBytes       
[  7]  72.00-73.00  sec  10.0 MBytes  83.9 Mbits/sec   18    100 KBytes       
[  7]  73.00-74.00  sec  10.0 MBytes  83.9 Mbits/sec    8    115 KBytes       
[  7]  74.00-75.00  sec  10.0 MBytes  83.9 Mbits/sec   25    192 KBytes       
[  7]  75.00-76.00  sec  11.2 MBytes  94.4 Mbits/sec  186   86.3 KBytes       
[  7]  76.00-77.00  sec  10.0 MBytes  83.9 Mbits/sec   13    102 KBytes       
[  7]  77.00-78.00  sec  11.2 MBytes  94.4 Mbits/sec   27   66.5 KBytes       
[  7]  78.00-79.00  sec  11.2 MBytes  94.4 Mbits/sec   22   97.6 KBytes       
[  7]  79.00-80.00  sec  10.0 MBytes  83.9 Mbits/sec   24   79.2 KBytes       
[  7]  80.00-81.00  sec  10.0 MBytes  83.9 Mbits/sec   17    106 KBytes       
[  7]  81.00-82.00  sec  22.5 MBytes   189 Mbits/sec   11    197 KBytes       
[  7]  82.00-83.00  sec  28.8 MBytes   241 Mbits/sec    0    290 KBytes       
[  7]  83.00-84.00  sec  26.2 MBytes   220 Mbits/sec    0    354 KBytes       
[  7]  84.00-85.00  sec  13.8 MBytes   115 Mbits/sec  401    110 KBytes       
